Title,Author,Length
We Are All Guilty Here,Karin Slaughter,16 hrs and 33 mins
Rider on a Pale Horse,Mark Goodwin,6 hrs and 53 mins
The Seven Rings,Nora Roberts,14 hrs and 30 mins
"Unintended Cultivator, Volume Six",Eric Dontigney,14 hrs and 12 mins
Mage Tank 2: A LitRPG Adventure,Cornman,19 hrs and 27 mins
He Who Fights with Monsters 12: A LitRPG Adventure,Shirtaloon,19 hrs and 26 mins
Cry Havoc,Jack Carr,15 hrs and 30 mins
Quicksilver Bonus Scenes: Kingfisher's POV,Callie Hart,2 hrs and 15 mins
Bourbon and Secrets,Victoria Wilder,12 hrs and 47 mins
Three BFFs and a Wedding: The Complete Series,Pippa Grant,43 hrs and 2 mins
"Unintended Cultivator, Volume Six",Eric Dontigney,14 hrs and 12 mins
Cry Havoc,Jack Carr,15 hrs and 30 mins
Mage Tank 2: A LitRPG Adventure,Cornman,19 hrs and 27 mins
Quicksilver Bonus Scenes: Kingfisher's POV,Callie Hart,2 hrs and 15 mins
Bourbon and Secrets,Victoria Wilder,12 hrs and 47 mins
Possessive Puckboy,"Eden Finley, Saxon James",7 hrs and 46 mins
The Fallen and the Kiss of Dusk,Author not found,17 hrs and 46 mins
Capri 1.5,Jahquel J.,5 hrs and 21 mins
He Who Fights with Monsters: A LitRPG Adventure,Shirtaloon,28 hrs and 56 mins
The Woman at No. 3,Rebecca Collomosse,11 hrs and 10 mins
He Who Fights with Monsters 12: A LitRPG Adventure,Shirtaloon,19 hrs and 26 mins
The Secret of Secrets,Dan Brown,20 hrs
Savage Titan,E.V. Olsen,2 hrs and 52 mins
Unseen,Author not found,9 hrs and 4 mins
"Dolores: My Journey Home, Part One","Catherine Paiz, Riley J. Ford",10 hrs and 24 mins
Tom Clancy Terminal Velocity,M.P. Woodward,15 hrs
Monroe Doctrine: A Post-War Novel,"James Rosone, Miranda Watson",10 hrs and 2 mins
Lights Out,Navessa Allen,13 hrs and 38 mins
Sons of Valor IV: False Flag,"Brian Andrews, Jeffrey Wilson",11 hrs and 47 mins
The Silent Switch,Author not found,10 hrs and 44 mins
The Prince of Power,Skyler Mason,10 hrs and 9 mins
Exit Strategy,"Lee Child, Andrew Child",12 hrs
Era of Ruin,Dan Abnett,8 hrs and 30 mins
Villain for Hire: Failure is the Only Option,Jay Aury,7 hrs and 18 mins
Returner's Defiance 3,Bruce Sentar,12 hrs and 41 mins
The List,Steve Berry,14 hrs
The Things We Water,Mariana Zapata,22 hrs and 28 mins
Flybot,Dennis E. Taylor,9 hrs and 37 mins
Not My Type,Author not found,12 hrs and 2 mins
Into the Storms: A Hell Divers Prequel,Nicholas Sansbury Smith,16 hrs and 30 mins
The Impossible Fortune,Richard Osman,11 hrs
"That's a Great Question, I'd Love to Tell You",Elyse Myers,12 hrs
Nice Girls Don't Win,Parvati Shallow,5 hrs and 47 mins
The Idaho Four,"James Patterson, Vicky Ward",10 hrs and 57 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,33 hrs and 45 mins
"Idylls of the Sea, and Other Marine Sketches",Author not found,7 hrs and 16 mins
The Black Wolf,Louise Penny,12 hrs and 51 mins
System Summoning: A Post-Apocalyptic LitRPG Progression,Sean Dunning,15 hrs and 35 mins
The Primal Hunter 12,Zogarth,20 hrs and 7 mins
Elemental Men: The Complete Series,Louisa Masters,10 hrs and 11 mins
The End of the World as We Know It,"Christopher Golden - contributor, Brian Keene - contributor, Stephen King - introduction",27 hrs and 12 mins
The Black Wolf,Louise Penny,12 hrs and 51 mins
The Last Wizards' Ball,Charlaine Harris,10 hrs and 15 mins
Never Flinch,Stephen King,14 hrs and 44 mins
Sojourner: A LitRPG Progression Fantasy,Plum Parrot,19 hrs and 22 mins
Mimic & Me 4,"Cassius Lange, Ryan Tang",15 hrs and 44 mins
Iron Flame,Rebecca Yarros,28 hrs and 16 mins
Onyx Storm (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,10 hrs and 17 mins
Capri 1.5,Jahquel J.,5 hrs and 21 mins
Denied Access,"Vince Flynn, Don Bentley",13 hrs
Villain for Hire: Failure is the Only Option,Jay Aury,7 hrs and 18 mins
The Gate of the Feral Gods,Matt Dinniman,18 hrs and 3 mins
These Summer Storms,Sarah MacLean,13 hrs and 17 mins
The Girl Who Left,Jenny Blackhurst,9 hrs and 32 mins
Morning Star,Pierce Brown,21 hrs and 50 mins
The Wishing Phone,Author not found,1 hr and 21 mins
The Path of Ascension 9,C. Mantis,21 hrs and 27 mins
The Gargoyle Beguiles the Beauty,Kristen Painter,8 hrs and 8 mins
The Social Intelligence Code,Author not found,10 hrs and 12 mins
Death Row,Freida McFadden,1 hr and 44 mins
Morning Star,Pierce Brown,21 hrs and 50 mins
"1% Lifesteal, Volume 2",Robert Blaise,20 hrs and 4 mins
The Wishing Phone,Author not found,1 hr and 21 mins
The Social Intelligence Code,Author not found,10 hrs and 12 mins
Death Row,Freida McFadden,1 hr and 44 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,16 hrs and 54 mins
The Primal of Blood and Bone,Jennifer L. Armentrout,36 hrs
Frat Around and Find Out,Devon McCormack,7 hrs and 3 mins
"JFK: Public, Private, Secret",J. Randy Taraborrelli,16 hrs and 2 mins
The Clumsy Neighbor,Author not found,1 hr and 18 mins
Unhinged,Steph Macca,5 hrs and 48 mins
The Grump Next Door,Brighton Walsh,9 hrs and 12 mins
The Path of Ascension 9,C. Mantis,21 hrs and 27 mins
All That Summer,Author not found,1 hr and 42 mins
Letters from Tomorrow,Author not found,1 hr and 43 mins
The Pilot,Will Wight,10 hrs and 50 mins
Under the Stars,Author not found,1 hr and 27 mins
Throne of Glass (Dramatized Adaptation),Sarah J. Maas,11 hrs
House of Earth and Blood,Sarah J. Maas,27 hrs and 50 mins
The Bewitching,Silvia Moreno-Garcia,14 hrs and 7 mins
Override,Author not found,1 hr and 26 mins
A Marriage at Sea,Sophie Elmhirst,5 hrs and 50 mins
The Things We Water,Mariana Zapata,22 hrs and 28 mins
Gloves Off,Stephanie Archer,11 hrs and 57 mins
Dominion,Tom Holland,23 hrs and 30 mins
The Grip of Death,Nazri Noor,5 hrs and 42 mins
"1% Lifesteal, Volume 2",Robert Blaise,20 hrs and 4 mins
Jakob's Point,Author not found,1 hr and 41 mins
The Cursed Locket,Author not found,1 hr and 29 mins
The Butcher's Masquerade,Matt Dinniman,23 hrs and 33 mins
Death at a Paris Hotel,Verity Bright,9 hrs and 11 mins
Character and Countenance,MJ Stratton,11 hrs and 40 mins
Revenge in the Falls,Elle Gray,7 hrs and 55 mins
The Beauty Unvailed,Author not found,3 hrs
House of Sky and Breath,Sarah J. Maas,27 hrs and 42 mins
The Legend of Randidly Ghosthound 10,Noret Flood,26 hrs and 36 mins
Not My Type,Author not found,12 hrs and 2 mins
Undeniably Unexpected,J. Saman,11 hrs and 14 mins
Pride and Prejudice,Jane Austen,11 hrs and 35 mins
Sea Whispers,Author not found,1 hr and 33 mins
The Butcher's Masquerade,Matt Dinniman,23 hrs and 33 mins
Confronting Evil,Bill O'Reilly,9 hrs and 45 mins
Death at a Paris Hotel,Verity Bright,9 hrs and 11 mins
Undeniably Unexpected,J. Saman,11 hrs and 14 mins
Character and Countenance,MJ Stratton,11 hrs and 40 mins
The Paper City,Author not found,3 hrs and 7 mins
House of Sky and Breath,Sarah J. Maas,27 hrs and 42 mins
The Legend of Randidly Ghosthound 10,Noret Flood,26 hrs and 36 mins
Green Cleaning Secrets,Author not found,3 hrs and 4 mins
Pride and Prejudice,Jane Austen,11 hrs and 35 mins
Sea Whispers,Author not found,1 hr and 33 mins
The Final Wife,Jenny Blackhurst,7 hrs and 58 mins
#CrimeTime,Jeneva Rose,3 hrs and 45 mins
Golden Son,Pierce Brown,19 hrs and 3 mins
Pretty Little Savage,Lucy Smoke,12 hrs and 20 mins
Diary of a Wimpy Kid: Partypooper,Jeff Kinney,2 hrs
Wiedergeburt,Brandon Varnell,6 hrs and 16 mins
Holdouts,Thomas J. Doscher,7 hrs and 39 mins
The Perfect Divorce,Jeneva Rose,9 hrs and 27 mins
Woman in Suite 11,Ruth Ware,15 hrs and 11 mins
Return to Demeter,Alan 'Doc' Hansen,6 hrs and 19 mins
The Wandering Inn,pirateaba,48 hrs and 7 mins
The Fellowship of the Ring,J. R. R. Tolkien,22 hrs and 38 mins
Carl's Doomsday Scenario,Matt Dinniman,11 hrs and 28 mins
Demeter,Alan D. Hansen,6 hrs and 35 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,11 hrs and 49 mins
The Fellowship of the Ring,J. R. R. Tolkien,19 hrs and 7 mins
Dune,Frank Herbert,21 hrs and 2 mins
The Three Billy Goats Gruff,Audible Studios,9 mins
Dungeon Crawler Carl,Matt Dinniman,13 hrs and 31 mins
Rage,Linda Castillo,9 hrs and 17 mins
Finding Her Own Way,Author not found,1 hr and 28 mins
Letters from Tomorrow,Author not found,1 hr and 43 mins
The Overtime Kiss,Lauren Blakely,12 hrs and 8 mins
Smash Hit,Sarah Richards,8 hrs and 44 mins
Renegades,Craig Alanson,17 hrs and 7 mins
Orion Spur: Paragon's Virtue,Alan D. Hansen,6 hrs and 44 mins
Empire of Flame and Thorns,Marion Blackwood,10 hrs and 48 mins
The Pilot,Will Wight,10 hrs and 50 mins
The Women,Kristin Hannah,14 hrs and 57 mins
When Did 11 Seconds Change My Life?,Author not found,48 mins
Iron Gold,Pierce Brown,23 hrs and 23 mins
The Art of Crafting & Selling,Author not found,3 hrs and 28 mins
Google Ads Primer a How to Plan and Optimise Your Campaigns,Author not found,3 hrs and 4 mins
Tailored Realities,Brandon Sanderson,20 hrs and 1 min
Midnight Rain,Haley Cass,19 hrs and 7 mins
Onyx Storm (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,9 hrs and 41 mins
Elemental Men: The Complete Series,Louisa Masters,10 hrs and 11 mins
In Her Silence,Author not found,1 hr and 21 mins
Hidden Nature,Nora Roberts,14 hrs and 55 mins
Digital Zombie No More,Author not found,13 hrs and 8 mins
The Harvest Loaf,Author not found,1 hr and 7 mins
Duskbound,Parker Lennox,17 hrs and 23 mins
Rhythm of War,Brandon Sanderson,57 hrs and 26 mins
How Can We Find Reality?,Nanette Fong,3 hrs
Definitely Not Into You,Author not found,1 hr and 28 mins
A Court of Silver Flames,Sarah J. Maas,26 hrs and 5 mins
Rebound,Sadie Kincaid,12 hrs and 45 mins
He Who Fights with Monsters 3,Shirtaloon,24 hrs and 39 mins
Wiedergeburt,Brandon Varnell,6 hrs and 16 mins
Secret Notes,Author not found,1 hr and 34 mins
Severed Heart: The Birth of a Warrior,Kate Stewart,24 hrs and 41 mins
The Anxious Generation,Jonathan Haidt,10 hrs and 32 mins
9 Steps to Build a Life of Meaning,Rick Walker,6 hrs and 50 mins
"Heretical Fishing 4: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",Haylock Jobson,21 hrs and 6 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,8 hrs and 18 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,11 hrs and 38 mins
The Hobbit,J. R. R. Tolkien,10 hrs and 25 mins
The Two Towers,J. R. R. Tolkien,20 hrs and 46 mins
Lost Light: The Complete Survival Thriller Series Box Set,Kyla Stone,55 hrs and 51 mins
Dual Class,Arthur Inverse,26 hrs and 5 mins
Star Intern,Author not found,1 hr and 29 mins
Murder at the Patel Motel,Maulik Pancholy,4 hrs and 29 mins
I Will Break You,Gigi Styx,17 hrs and 33 mins
The Twisted Women's Book Club,"Karin Slaughter, Lee Child, B.A. Paris, Caroline Kepnes, Oyinkan Braithwaite, Sarah Pekkanen, Linwood Barclay, Naomi Hirahara, K. J. Howe, Robert Dugoni, Alison Gaylin, Heather Gudenkauf, Shari Lapena, Clare Mackintosh, Stacy Willingham",10 hrs and 49 mins
Oracle,Andrew Pyper,9 hrs and 20 mins
Dark Age,Pierce Brown,33 hrs and 58 mins
The Final Wife,Jenny Blackhurst,7 hrs and 58 mins
Things She Never Sent,Author not found,1 hr and 22 mins
Never Lie,Freida McFadden,7 hrs and 20 mins
Remain,"Nicholas Sparks, M. Night Shyamalan",11 hrs
James,Percival Everett,7 hrs and 49 mins
A Court of Frost and Starlight,Sarah J. Maas,6 hrs and 23 mins
The Girl Who Was Taken,Charlie Donlea,10 hrs and 49 mins
California Notary Exam Simplified,Author not found,22 hrs and 3 mins
The Lazy Person’s Liver Cleanse in 10 Days,Author not found,11 hrs and 33 mins
Shadows of Trust,Author not found,1 hr and 45 mins
"The Witches of Scotland: The Complete Series, Books 1-8",Steven P Aitchison,32 hrs and 7 mins
Wreck Jumpers,"Nick Cole, Jason Anspach",13 hrs and 33 mins
Embracing a Sustainable Future with Green Technology,Author not found,3 hrs and 52 mins
Hidden Daughters,Patricia Gibney,13 hrs and 25 mins
Choose You,Melissa Tereze,11 hrs and 11 mins
The End of All Things: The Complete Series,Mike Kraus,62 hrs and 31 mins
Throne of Glass,Sarah J. Maas,13 hrs and 3 mins
Trust Me Always,Meagan Brandy,10 hrs and 27 mins
Dreamy Forest Adventures,Author not found,10 hrs and 52 mins
The River Is Waiting,Wally Lamb,14 hrs and 35 mins
The Things We Leave Unfinished,Rebecca Yarros,14 hrs and 32 mins
Broken,Serena Akeroyd,7 hrs and 38 mins
Duskbound 1,D. E. Sherman,12 hrs and 41 mins
Reaper,Chelle Rose,6 hrs and 17 mins
Romeo,Jessica Ashley,7 hrs and 28 mins
The Final Empire,Brandon Sanderson,24 hrs and 39 mins
The Martian,Andy Weir,10 hrs and 59 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,98 hrs and 1 min
The History of the Ancient World,Susan Wise Bauer,26 hrs and 20 mins
Bunny Girl Evolution 1,Sir Bedivere the Mad,18 hrs and 32 mins
Mystic Seekers,Troy Ashford,10 hrs and 37 mins
Ship of Prophecy Box Set: The Complete 10-Book Series,Scott Bartlett,75 hrs and 29 mins
Free Ride,Noraly Schoenmaker,8 hrs and 16 mins
Framed in Death,J. D. Robb,13 hrs and 11 mins
Crown of Midnight,Sarah J. Maas,12 hrs and 43 mins
Reckless Heart,Ivy Layne,8 hrs and 57 mins
My Friends,Fredrik Backman,13 hrs and 7 mins
Beyond the Wildflowers,Author not found,1 hr and 26 mins
Bound by Fate,Author not found,1 hr and 13 mins
Unhinged,Jane Henry,9 hrs and 36 mins
The Will of the Many,James Islington,28 hrs and 14 mins
Persepolis Rising,James S. A. Corey,20 hrs and 34 mins
Honeymoon for One (And a Half),Author not found,1 hr and 43 mins
Bonds of Hercules,Jasmine Mas,13 hrs and 45 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,21 hrs and 36 mins
Code of Silence,Shantel Tessier,7 hrs and 15 mins
"First Necromancer, Book Three",Coldfang89,21 hrs and 35 mins
"Summer Romance Hacks: Finding Love, Adventure & Connection",Geovanny Gomez,3 hrs and 14 mins
"Haumeah, Volume 4 (Demeter)",Alan D. Hansen,7 hrs and 49 mins
The Laws of Human Nature,Robert Greene,28 hrs and 26 mins
The Carver,Penelope Sky,6 hrs and 54 mins
Remarkably Bright Creatures,Shelby Van Pelt,11 hrs and 16 mins
Hour of the Pumpkin Queen,Megan Shepherd,8 hrs and 54 mins
"Love, Mom",Iliana Xander,9 hrs and 37 mins
Paternal Instincts,Nicky James,9 hrs and 53 mins
Heir of Fire,Sarah J. Maas,17 hrs and 56 mins
At Charm's Length,Amanda M. Lee,11 hrs and 6 mins
The Nightingale,Kristin Hannah,17 hrs and 19 mins
"Like, Follow, Die",Ashley Kalagian Blunt,9 hrs and 33 mins
Buldoun's Blunder,Daniel Schinhofen,10 hrs and 45 mins
A People's History of the United States,Howard Zinn,34 hrs and 8 mins
"Sexton Brothers Boxed Set, Books 1-3","Lauren Runow, Jeannine Colette",34 hrs and 29 mins
Empire of Storms,Sarah J. Maas,25 hrs and 18 mins
Protocols,Author not found,11 hrs
Antimemetics,Author not found,4 hrs and 5 mins
This Inevitable Ruin,Matt Dinniman,28 hrs and 40 mins
Maid for You: The Complete Omnibus,"Virgil Knightley, Peter North",32 hrs and 46 mins
The Body Keeps the Score,Bessel van der Kolk M.D.,16 hrs and 15 mins
"Vera, or Faith",Gary Shteyngart,6 hrs and 2 mins
The Vengeful Dead,Darcy Coates,11 hrs and 14 mins
Hotel Ukraine,Martin Cruz Smith,6 hrs and 16 mins
Patient Number Eight,Author not found,1 hr and 26 mins
We Were Liars,E. Lockhart,6 hrs and 19 mins
The Ether Witch: The Casting Call,Delemhach,13 hrs and 33 mins
Hábitos atómicos (Español neutro),James Clear,9 hrs and 1 min
Breathtaking,Bella Matthews,7 hrs and 20 mins
Red Rising,Pierce Brown,16 hrs and 12 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,9 hrs and 22 mins
The Alpha of Bleake Isle,Kathryn Moon,12 hrs and 26 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,19 hrs and 27 mins
Kingdom of Ash,Sarah J. Maas,33 hrs and 11 mins
Demon Copperhead,Barbara Kingsolver,21 hrs and 3 mins
A Short History of Nearly Everything,Bill Bryson,18 hrs and 13 mins
Soltar la Ansiedad,Zeph Berry,3 hrs and 31 mins
"Vera, or Faith",Gary Shteyngart,6 hrs and 2 mins
The Vengeful Dead,Darcy Coates,11 hrs and 14 mins
Sophie Was Here,Kathryn Croft,11 hrs and 21 mins
Hotel Ukraine,Martin Cruz Smith,6 hrs and 16 mins
Patient Number Eight,Author not found,1 hr and 26 mins
We Were Liars,E. Lockhart,6 hrs and 19 mins
The Ether Witch: The Casting Call,Delemhach,13 hrs and 33 mins
Hábitos atómicos (Español neutro),James Clear,9 hrs and 1 min
Breathtaking,Bella Matthews,7 hrs and 20 mins
Red Rising,Pierce Brown,16 hrs and 12 mins
Fourth Wing (Part 2 of 2) (Dramatized Adaptation),Rebecca Yarros,9 hrs and 22 mins
The Alpha of Bleake Isle,Kathryn Moon,12 hrs and 26 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,19 hrs and 27 mins
Not Her First Choice,Author not found,1 hr and 20 mins
Kingdom of Ash,Sarah J. Maas,33 hrs and 11 mins
Demon Copperhead,Barbara Kingsolver,21 hrs and 3 mins
A Short History of Nearly Everything,Bill Bryson,18 hrs and 13 mins
Minecraft: The Island (Narrated by Jack Black),Max Brooks,6 hrs and 17 mins
Atmosphere: A GMA Book Club Pick,Taylor Jenkins Reid,9 hrs and 52 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,9 hrs and 2 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,26 hrs and 28 mins
Savage Awakening 5,Adastra339,18 hrs and 21 mins
Antimemetics,Author not found,4 hrs and 5 mins
Queen of Shadows,Sarah J. Maas,20 hrs and 43 mins
Tower of Dawn,Sarah J. Maas,22 hrs and 39 mins
The Way of Kings,Brandon Sanderson,45 hrs and 30 mins
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),Sarah J. Maas,8 hrs and 26 mins
All His Pretty Girls,Charly Cox,11 hrs and 6 mins
Beneath the Oak,Author not found,1 hr and 33 mins
Where the Leaves Fell,Author not found,1 hr and 23 mins
Chasing Silence,Author not found,1 hr and 28 mins
Pet Project,Author not found,1 hr and 3 mins
Jake Undone,Penelope Ward,10 hrs and 17 mins
Sunrise on the Reaping,Suzanne Collins,12 hrs and 48 mins
You Need to Leave: The Sequel to 'You Invited It In',Sarah Jules,6 hrs and 39 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,20 hrs and 36 mins
The Holy Bible: King James Version,Author not found,82 hrs and 53 mins
Don't Let Him In,Lisa Jewell,11 hrs and 58 mins
The Synthesis Trilogy,Author not found,41 hrs and 20 mins
Spring Enchantment Welcoming Renewal and Growth,Author not found,3 hrs and 5 mins
Unhinged Little Angel,K. M. Neuhold,7 hrs and 1 min
The Hero of Ages,Brandon Sanderson,27 hrs and 25 mins
The First Gentleman,"James Patterson, Bill Clinton",11 hrs and 1 min
Hello Trouble,Kelsie Hoss,8 hrs and 16 mins
Stone Cold Queen,Lucy Smoke,12 hrs and 3 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,26 hrs and 28 mins
Can't Hurt Me,David Goggins,13 hrs and 37 mins
Heir of Novron,Michael J. Sullivan,31 hrs and 48 mins
The Holy Bible: King James Version,Author not found,82 hrs and 53 mins
If You Tell,Gregg Olsen,10 hrs and 34 mins
Bones at the Crossroads,LaDarrion Williams,18 hrs and 56 mins
Matteo,Eva Winners,11 hrs and 55 mins
Jurassic Park,Michael Crichton,15 hrs and 10 mins
Legacy of Lies,Brett Vogeler,4 hrs and 40 mins
I'm Glad My Mom Died,Jennette McCurdy,6 hrs and 26 mins
In Times Like These: Mega Boxed Set,Nathan Van Coops,61 hrs and 7 mins
Catching Fire,Suzanne Collins,11 hrs and 3 mins
Rage World,B.V. Larson,12 hrs and 22 mins
Shadows of the Empire,Steve Perry,13 hrs and 30 mins
At the Edge of Surrender,A.L. Jackson,14 hrs and 36 mins
Odyssey,Stephen Fry,10 hrs and 37 mins
The Well of Ascension,Brandon Sanderson,28 hrs and 56 mins
Matriarch,Tina Knowles,17 hrs and 15 mins
Can't Get Enough,Kennedy Ryan,15 hrs and 15 mins
A Clash of Kings,George R.R. Martin,37 hrs and 12 mins
Devoted,Evelyn Sola,3 hrs and 28 mins
4th Degree,Nikki Castle,9 hrs and 18 mins
Words of Radiance,Brandon Sanderson,48 hrs and 15 mins
The Frozen People: A Mystery,Elly Griffiths,9 hrs and 40 mins
The 34 in the Floor,R.B. Schow,9 hrs and 20 mins
The God of the Woods,Liz Moore,14 hrs and 35 mins
Avenging Angels: Tenderfoot,Kristen Ashley,10 hrs and 10 mins
Mistresses with Jameela Jamil & Dr Kate Lister,Kate Lister,4 hrs and 28 mins
From Blood and Ash,Jennifer L. Armentrout,19 hrs and 46 mins
Death Springs,David J. Gatward,7 hrs and 59 mins
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,24 hrs and 21 mins
Take Control of Your Life,Mel Robbins,10 hrs and 3 mins
